source,title,description,details
google-news,U.S. effort to weaken an international breast-feeding resolution has a long history,President Trump's administration tried to weaken a pro-breast-feeding resolution. But breast-feeding advocates said that the incident is a throwback to a time when the U.S. government defied the world to protect the infant-formula industry.,US effort weaken international breast feeding resolution long history President Trumps administration tried weaken pro breast feeding resolution breast feeding advocates said incident throwback time US government defied world protect infant formula industry
google-news,"Tourists on honeymoon collide while zip-lining, leaving husband dead and wife injured","As the wife was stuck halfway down the cable, her husband slammed into her from behind, authorities said.",Tourists honeymoon collide zip lining leaving husband dead wife injured wife stuck halfway cable husband slammed behind authorities said
fortune,Trump Nominates Brett ­Kavanaugh for the U.S. Supreme Court,,Trump Nominates Brett ­Kavanaugh US Supreme Court
fortune,IHOb No More: IHOP Says Its Burger-Rebranding Was Just a Gimmick,,IHOb IHOP Says Burger Rebranding Gimmick
fortune,"Brett Kavanaugh, Trump's Potential Supreme Court Nominee, Is No Friend to Net Neutrality",,Brett Kavanaugh Trumps Potential Supreme Court Nominee Friend Net Neutrality
fortune,Another Crypto Fail: Hackers Steal $23.5 Million from Token Service Bancor,,Another Crypto Fail Hackers Steal 235 Million Token Service Bancor
fortune,This Irish Bill Could Create Huge Problems for U.S. Companies Like Apple,,Irish Bill Could Create Huge Problems US Companies Like Apple
fortune,Mobile Health Apps Get An FDA Push,,Mobile Health Apps Get FDA Push
fortune,"Babies Given Solid Foods Sooner May Sleep Better, Study Shows",,Babies Given Solid Foods Sooner May Sleep Better Study Shows
fortune,Here’s What the World’s Biggest Investor Thinks the Markets Will Do Next,,World Biggest Investor Thinks Markets Next
fortune,Trump Might Be Right About NATO—but for All the Wrong Reasons,,Trump Might Right NATO—but Wrong Reasons
fortune,Magazine | Fortune,Read the latest stories about Magazine on Fortune,Magazine Fortune Read latest stories Magazine Fortune
bbc-news,At least 126 dead as heavy rains hit Japan,It's already the highest death toll caused by flooding in the country in more than three decades.,least 126 dead heavy rains hit Japan already highest death toll caused flooding country three decades
bbc-news,Cave rescue enters day three,Eight members of the Thai youth football team have now been rescued but five are still underground.,Cave rescue enters day three Eight members Thai youth football team rescued five still underground
bbc-news,PM to meet new cabinet amid Brexit turmoil,Theresa May is forced to carry out a reshuffle after a string of resignations over her Brexit strategy.,PM meet new cabinet amid Brexit turmoil Theresa May forced carry reshuffle string resignations Brexit strategy
bbc-news,Trump names Kavanaugh for US Supreme Court,"Mr Trump lauded his pick, an ex-adviser to former President George W Bush, as a ""brilliant jurist"".",Trump names Kavanaugh US Supreme Court Mr Trump lauded pick ex adviser former President George W Bush brilliant jurist
bbc-news,'Sick' EU ivory sales a 'cover for poaching',Campaigners find many legally sold antique ivory trinkets in Europe come from recently killed elephants.,Sick EU ivory sales cover poaching Campaigners find many legally sold antique ivory trinkets Europe come recently killed elephants
bbc-news,'Whether he is alive or dead is a mystery',"Three years ago, a prominent Chinese human rights lawyer was arrested and he hasn't been heard from since.",Whether alive dead mystery Three years ago prominent Chinese human rights lawyer arrested hasnt heard since
bbc-news,Cave divers ready to rescue last five,A high-risk operation to free four boys and their football coach is set to resume in Thailand.,Cave divers ready rescue last five high risk operation free four boys football coach set resume Thailand
bbc-news,Novichok pair had high dose - police,"Police are hunting for the contaminated container handled by Dawn Sturgess, following her death.",Novichok pair high dose police Police hunting contaminated container handled Dawn Sturgess following death
bbc-news,Starbucks says goodbye to plastic straws,The company's latest effort to reduce plastic pollution has drawn mixed reaction from consumers.,Starbucks says goodbye plastic straws companys latest effort reduce plastic pollution drawn mixed reaction consumers
bbc-news,Migrant toddlers face US courts alone,"Attorneys tell the BBC they are seeing ""toddlers, babies"" entering the legal system alone.",Migrant toddlers face US courts alone Attorneys tell BBC seeing toddlers babies entering legal system alone
